Id,Obs,Mdl
1849,1,1
1850,1,0
1851,1,1
1852,4,4
1853,1,0
1854,1,0
1855,1,0
1856,2,0
1857,2,2
1858,2,2
1859,2,1
1860,1,1
1861,2,0
1862,2,1
1863,2,1
1864,2,3
1865,2,0
1866,1,0
1867,1,1
1868,1,1
1869,2,1
1870,2,2
1871,1,0
1872,3,2
1873,2,1
1874,2,0
1875,1,0
1876,2,1
1877,1,1
1878,1,0
1879,2,2
1880,2,2
1881,1,0
1882,1,0
1883,1,0
1884,1,0
1885,1,0
1886,3,2
1887,15,14
1888,4,2
1889,3,2
1890,1,0
1891,1,1
1892,1,0
1893,1,1
1894,7,6
1895,1,0
1896,1,0
1897,1,1
1898,1,1
1899,21,18
1900,3,3
1901,2,2
1902,1,0
1903,2,1
1904,1,0
1905,1,1
1906,1,1
1907,1,0
1908,1,0
1909,1,1
1910,1,1
1911,2,0
1912,5,5
1913,1,1
1914,2,1
1915,1,1
1916,1,1
1917,2,0
1918,2,0
1919,3,1
1920,1,0
1921,1,1
1922,1,1
1923,1,1
1924,4,3
1925,1,1
1926,1,0
1927,2,2
1928,1,1
1929,1,1
1930,1,1
1931,1,0
1932,1,1
1933,1,1
1934,2,0
1935,1,1
1936,1,0
1937,1,1
1938,1,1
1939,1,1
1940,1,1
1941,1,0
1942,2,2
1943,1,0
1944,1,0
1945,1,1
1946,1,1
1947,1,1
1948,3,3
1949,2,2
1950,1,0
1951,2,2
1952,1,1
1953,1,1
1954,1,0
1955,1,0
1956,1,1
1957,1,1
1958,1,0
1959,1,1
1960,1,1
1961,3,3
1962,1,1
1963,2,1
1964,1,1
1965,1,0
1966,2,1
1967,2,1
1968,1,0
1969,1,0
1970,1,1
1971,1,1
1972,1,1
1973,1,1
1974,1,0
1975,1,1
1976,1,1
1977,1,1
1978,1,0
1979,1,0
1980,1,0
1981,1,0
1982,1,1
1983,2,0
1984,1,1
1985,1,0
1986,1,1
1987,1,1
1988,1,1
1989,1,1
1990,1,0
1991,1,1
1992,4,4
1993,2,2
1994,1,1
1995,1,0
1996,1,1
1997,1,1
1998,1,1
1999,1,1
2000,7,0
2001,37,34
2002,15,15
2003,30,11
2004,2,0
2005,38,17
2006,5,3
2007,15,14
2008,2,0
2009,1,0
2010,1,0
2011,1,0
2012,3,0
2013,2,0
2014,4,2
2015,2,0
2016,5,5
2017,21,20
2018,2,2
2019,10,10
2020,1,0
2021,5,6
2022,2,2
2023,1,0
2024,2,0
2025,2,0
2026,1,0
2027,2,2
2028,1,0
2029,2,2
2030,1,0
2031,3,3
2032,11,9
2033,1,1
2034,1,0
2035,1,0
2036,1,1
2037,1,0
2038,1,0
2039,2,0
2040,1,0
2041,1,0
2042,4,4
2043,1,1
2044,1,1
2045,1,0
2046,2,0
2047,1,0
2048,6,1
2049,1,1
2050,6,3
2051,2,0
2052,2,1
2053,3,0
2054,1,1
2055,1,0
2056,5,5
2057,17,17
2058,1,0
2059,2,2
2060,3,2
2061,1,1
2062,1,0
2063,3,3
2064,1,0
2065,1,1
2066,1,1
2067,8,3
2068,8,5
2069,2,0
2070,2,2
2071,2,0
2072,5,0
